t=2025-12-29T22:21:25+0530 lvl=info msg="no configuration paths supplied"
t=2025-12-29T22:21:25+0530 lvl=info msg="using configuration at default config path" path="/Users/jayanth/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-29T22:21:25+0530 lvl=info msg="open config file" path="/Users/jayanth/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-29T22:21:25+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-12-29T22:21:26+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-12-29T22:21:26+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-12-29T22:21:26+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5001 url=https://2f8296649e0f.ngrok-free.app
t=2025-12-29T22:21:26+0530 lvl=info msg="update available" obj=updater
t=2025-12-29T22:21:35+0530 lvl=info msg=start pg=/api/tunnels id=52fbc003ae99aa64
t=2025-12-29T22:21:35+0530 lvl=info msg=end pg=/api/tunnels id=52fbc003ae99aa64 status=200 dur=402.667µs
t=2025-12-29T22:23:11+0530 lvl=info msg="join connections" obj=join id=7c3cade2bd6f l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:57777
t=2025-12-29T22:23:11+0530 lvl=info msg="join connections" obj=join id=8c9a3927148f l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:57777
t=2025-12-29T22:23:12+0530 lvl=info msg="join connections" obj=join id=805325cddfbb l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:57777
t=2025-12-29T22:23:44+0530 lvl=info msg="join connections" obj=join id=c9fa96ad3d10 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59139
t=2025-12-29T22:23:44+0530 lvl=info msg="join connections" obj=join id=eb726a48e348 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59139
